date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url
2025-10-16,SN2610,SN,282500,282500,281650,281650,282070,282990,2,0,56.415,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251016.dat
2025-10-17,SN2511,SN,280200,283470,279640,280750,281380,280030,60963,25308,1715397.382,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2512,SN,281140,283950,280120,281180,281840,280450,27560,23711,776753.262,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2601,SN,280820,284050,280230,281390,281930,280580,6017,9851,169637.353,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2602,SN,280110,283910,280110,281350,282070,280680,1223,2991,34497.191,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2603,SN,281090,283760,280130,281380,281950,280540,519,1871,14633.582,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2604,SN,280750,283780,280340,281000,282360,280560,216,794,6099.088,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2605,SN,281340,283070,281000,281000,282090,280280,22,220,620.609,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2606,SN,282650,283590,281770,282060,282500,280690,30,76,847.502,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2607,SN,283080,283450,282050,282900,282610,281020,27,32,763.052,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2608,SN,282450,284400,282450,283300,282980,281860,49,87,1386.627,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2609,SN,284350,284350,282460,282460,283360,282990,3,24,85.008,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-17,SN2610,SN,,,,282070,282070,282070,0,0,0,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251017.dat
2025-10-20,SN2511,SN,278500,280360,277280,279340,278950,281380,61538,22556,1716619.187,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2512,SN,278890,280780,277700,279840,279380,281840,35238,25090,984499.95,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2601,SN,279590,280910,277920,280070,279520,281930,8254,9875,230717.139,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2602,SN,279130,280850,277950,279850,279580,282070,2306,3105,64473.036,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2603,SN,278480,280670,278000,279590,279470,281950,726,1817,20289.949,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2604,SN,278710,280640,278380,279670,279690,282360,293,776,8195.186,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2605,SN,280680,280680,278050,279610,279650,282090,68,217,1901.679,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2606,SN,279090,281150,278300,280670,279860,282500,47,89,1315.364,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
2025-10-20,SN2607,SN,279490,281180,279210,280780,280420,282610,15,28,420.637,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20251020.dat
